ID_DIA,ID_LOJA,ID_POS,NOME_LOJA,DESC_STORE2,ZONA_REGION,DESC_REGIAO,DESC_CITY,MORADA,UNIDAD_DE_NEGOCIO,VALOR_PV,TOTAL_TRANSACCIONES_SIN_CLIENTE,TOTAL_TRANSACCIONES_CLIENTE_ID,TOTAL_TRANSACCIONES_CLIENTE_FE,TOTAL_TRANSACCIONES_CLIENTE_EMPLEADO,TOTAL_TRANSACCIONES_CLIENTE_FIADO,CLIENTE_OK,CLIENTE_ERRADO,TOTAL_POS,TOTAL_TRANSACCIONES_CON_CLIENTE,COBERTURA_ID,COBERTURA_NO_ID,COBERTURA_ERRADOS,TOTAL_ACUMULADO,TOTAL_ID_ACUMULADO,COBERTURA_TOTAL_ID
2024-02-28,0798,001,PIEDECUESTA PIEDECUESTA,PIEDECUESTA,CENTRO,REGION 11,Piedecuesta,CR 8 #8-53 /83,BdC,5459913.226890757,27,5,0,0,0,4,1,32,5,0.15625,0.84375,0.03125,19531,10316,0.528185960780298
2024-02-28,0739,001,MAICAO TRONCAL,MAICAO TRONCAL,NORTE,REGION 10,Maicao,CL 16 # 7-66,BdC,17602965.095238097,163,42,1,2,1,39,6,209,46,0.22009569377990432,0.7799043062200957,0.028708133971291867,19531,10316,0.528185960780298
2024-02-28,0739,002,MAICAO TRONCAL,MAICAO TRONCAL,NORTE,REGION 10,Maicao,CL 16 # 7-66,BdC,2140766.7647058824,41,51,1,2,0,52,2,95,54,0.5684210526315789,0.43157894736842106,0.021052631578947368,19531,10316,0.528185960780298
2024-02-28,0835,001,AGUACHICA MERCADO,AGUACHICA MERCADO,NORTE,REGION 10,Aguachica,CL 1 # 31-03,BdC,3679547.0112044816,110,45,1,0,1,35,7,157,47,0.29936305732484075,0.7006369426751592,0.044585987261146494,19531,10316,0.528185960780298
2024-02-28,0639,003,BUCARAMANGA SAN FRANCISCO LA 1,BMANGA SN FRAN LA 19,CENTRO,REGION 11,Bucaramanga,CR 19 # 19-03,BdC,7795855.960784313,14,3,0,1,0,4,0,18,4,0.2222222222222222,0.7777777777777778,0.0,19531,10316,0.528185960780298
2024-02-28,1252,003,MAGANGUE PUERTO BDC,MAGANGUE PUERTO BDC,NORTE,REGION 6,Magangué,CR 3 # 17-109,BdC,512127.0868347339,19,6,0,0,0,4,2,25,6,0.24,0.76,0.08,19531,10316,0.528185960780298
2024-02-28,0739,003,MAICAO TRONCAL,MAICAO TRONCAL,NORTE,REGION 10,Maicao,CL 16 # 7-66,BdC,40965882.913165264,0,5,0,1,0,5,0,6,6,1.0,0.0,0.0,19531,10316,0.528185960780298
2024-02-28,0639,001,BUCARAMANGA SAN FRANCISCO LA 1,BMANGA SN FRAN LA 19,CENTRO,REGION 11,Bucaramanga,CR 19 # 19-03,BdC,16559616.394957984,142,76,10,4,0,77,10,232,90,0.3879310344827586,0.6120689655172413,0.04310344827586207,19531,10316,0.528185960780298
2024-02-28,0835,002,AGUACHICA MERCADO,AGUACHICA MERCADO,NORTE,REGION 10,Aguachica,CL 1 # 31-03,BdC,6987515.5574229695,48,15,0,6,0,19,0,69,21,0.30434782608695654,0.6956521739130435,0.0,19531,10316,0.528185960780298
2024-02-28,0639,002,BUCARAMANGA SAN FRANCISCO LA 1,BMANGA SN FRAN LA 19,CENTRO,REGION 11,Bucaramanga,CR 19 # 19-03,BdC,26317268.11204482,31,28,6,2,0,28,5,67,36,0.5373134328358209,0.4626865671641791,0.07462686567164178,19531,10316,0.528185960780298
